time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909106,225500,2452562,19.59531593322754,108,13,0,2022-07-04T07:31:46,-259,-4.312908333333334,1656909114.812737,2022-07-04T07:31:54,-258411,-4.30685,96.15767559595591
1656909109,645800,2455982,19.59531593322754,126,13,0,2022-07-04T07:31:49,-256,-4.255903333333333,1656909122.861773,2022-07-04T07:32:02,-254991,-4.24985,96.31669362051792
1656909126,995900,2473656,19.59531593322754,222,13,0,2022-07-04T07:32:06,-239,-3.966735,1656909139.1884239,2022-07-04T07:32:19,-237317,-3.9552833333333335,97.069251026951
1656909141,695200,2488405,19.60936164855957,56,13,0,2022-07-04T07:32:21,-224,-3.7217466666666668,1656909155.177269,2022-07-04T07:32:35,-222568,-3.7094666666666667,97.42759126808495
1656909154,145300,2500481,19.59531593322754,118,13,0,2022-07-04T07:32:34,-211,-3.5142450000000003,1656909163.755061,2022-07-04T07:32:43,-210492,-3.5082,97.10821980314556
1656909161,571300,2507907,19.59531593322754,163,13,0,2022-07-04T07:32:41,-204,-3.3904783333333333,1656909171.3535159,2022-07-04T07:32:51,-203066,-3.3844333333333334,96.93857200575702
1656909170,662100,2517274,19.60936164855957,216,13,0,2022-07-04T07:32:50,-195,-3.238965,1656909179.7533839,2022-07-04T07:32:59,-193699,-3.2283166666666667,97.10788608525968
1656909178,422600,2524758,19.59531593322754,3,13,0,2022-07-04T07:32:58,-187,-3.1096233333333334,1656909188.0461009,2022-07-04T07:33:08,-186215,-3.1035833333333334,97.2569134954556
1656909185,700800,2532300,19.59531593322754,51,13,0,2022-07-04T07:33:05,-180,-2.9883200000000003,1656909195.3251488,2022-07-04T07:33:15,-178673,-2.977883333333333,96.91199688773214
1656909189,982900,2536318,19.59531593322754,78,13,0,2022-07-04T07:33:09,-176,-2.916951666666667,1656909203.86862,2022-07-04T07:33:23,-174655,-2.9109166666666666,96.27137758240885
1656909200,115400,2545882,19.60936164855957,131,13,0,2022-07-04T07:33:20,-165,-2.748076666666667,1656909211.349988,2022-07-04T07:33:31,-165091,-2.751516666666667,96.76422431302419
1656909202,954300,2554289,19.60936164855957,176,13,0,2022-07-04T07:33:22,-163,-2.7007616666666667,1656909219.318584,2022-07-04T07:33:39,-156684,-2.6114,96.83014992154052
1656909211,564400,2562899,19.60936164855957,237,13,0,2022-07-04T07:33:31,-154,-2.55726,1656909227.7077599,2022-07-04T07:33:47,-148074,-2.4679,96.56539838308137
1656909226,195900,2571754,19.59531593322754,46,13,0,2022-07-04T07:33:46,-139,-2.3134016666666666,1656909235.8181438,2022-07-04T07:33:55,-139219,-2.3203166666666664,95.99972315011028
1656909234,510500,2580158,19.59531593322754,111,13,0,2022-07-04T07:33:54,-131,-2.174825,1656909244.205072,2022-07-04T07:34:04,-130815,-2.18025,96.82271726928694
1656909242,117900,2587636,19.59531593322754,156,13,0,2022-07-04T07:34:02,-123,-2.048035,1656909252.6419199,2022-07-04T07:34:12,-123337,-2.055616666666667,97.70975144994054
1656909252,60900,2597394,19.59531593322754,210,13,0,2022-07-04T07:34:12,-113,-1.8823183333333333,1656909260.785389,2022-07-04T07:34:20,-113579,-1.8929833333333332,96.95101388560472
1656909257,926900,2603260,19.59531593322754,246,13,0,2022-07-04T07:34:17,-108,-1.7845516666666665,1656909268.517932,2022-07-04T07:34:28,-107713,-1.7952166666666665,97.1818618774414
1656909282,483300,2627816,19.59531593322754,132,13,0,2022-07-04T07:34:42,-83,-1.3752783333333334,1656909289.7395039,2022-07-04T07:34:49,-83157,-1.38595,97.1818618774414
1656909327,899900,2673576,19.623411178588867,133,13,0,2022-07-04T07:35:27,-38,-0.618335,1656909337.420172,2022-07-04T07:35:37,-37397,-0.6232833333333333,98.03996823225894
1656909336,216200,2681548,19.623411178588867,176,13,0,2022-07-04T07:35:36,-29,-0.47973,1656909345.2844439,2022-07-04T07:35:45,-29425,-0.49041666666666667,98.19836127077362
1656909343,995300,2689327,19.623411178588867,221,13,0,2022-07-04T07:35:43,-22,-0.3500783333333333,1656909353.537057,2022-07-04T07:35:53,-21646,-0.3607666666666667,98.3283857014333
1656909353,266700,2698922,19.60936164855957,19,13,0,2022-07-04T07:35:53,-12,-0.195555,1656909363.0025558,2022-07-04T07:36:03,-12051,-0.20085,98.11602425386684
1656909357,419600,2702751,19.60936164855957,45,13,0,2022-07-04T07:35:57,-8,-0.12634,1656909369.1593928,2022-07-04T07:36:09,-8222,-0.1370333333333333,97.60189056396484
1656909367,488600,2712820,19.53913116455078,98,13,0,2022-07-04T07:36:07,2,0.04147666666666667,1656909376.7699559,2022-07-04T07:36:16,1847,0.030783333333333333,97.60189056396484
