time_s,time_us,time_steady,num_ch,svid_0,flags_0,quality_0,cno_0,svid_1,flags_1,quality_1,cno_1,svid_2,flags_2,quality_2,cno_2,svid_3,flags_3,quality_3,cno_3,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,368000,2457186,16,32,16,5,31,31,4,4,27,22,4,4,26,25,4,4,23,11,11,0,2022-07-04T07:31:52,-253,-4.210533333333333,1656909126.5110679,2022-07-04T07:32:06,-253787,-4.229783333333334,96.44325528658895
1656909128,392000,2473209,16,2,4,4,30,3,4,4,33,12,13,4,30,11,4,4,27,210,11,0,2022-07-04T07:32:08,-237,-3.9434666666666667,1656909137.2431169,2022-07-04T07:32:17,-237764,-3.9627333333333334,96.99640632020335
1656909140,319000,2485136,15,12,12,4,34,3,4,4,31,20,4,4,30,19,12,4,22,40,11,0,2022-07-04T07:32:20,-225,-3.7446833333333336,1656909147.8414478,2022-07-04T07:32:27,-225837,-3.76395,97.15381443741978
1656909177,342000,2522159,15,2,4,4,30,12,12,4,28,20,4,4,24,11,4,4,29,61,11,0,2022-07-04T07:32:57,-188,-3.1276333333333333,1656909186.262384,2022-07-04T07:33:06,-188814,-3.1469,97.2483077599147
1656909188,358000,2533175,16,12,13,4,23,3,4,4,26,24,13,4,23,25,4,4,18,120,11,0,2022-07-04T07:33:08,-177,-2.944033333333333,1656909196.4105608,2022-07-04T07:33:16,-177798,-2.9633,96.4777269082832
1656909200,373000,2545190,16,19,12,4,30,3,4,4,28,24,12,3,26,25,4,4,22,208,11,0,2022-07-04T07:33:20,-165,-2.7437833333333335,1656909209.600229,2022-07-04T07:33:29,-165783,-2.76305,96.7767540261065
1656909210,402000,2555219,16,19,13,4,26,3,4,4,27,6,4,4,23,25,4,4,20,237,11,0,2022-07-04T07:33:30,-155,-2.5766333333333336,1656909219.975853,2022-07-04T07:33:39,-155754,-2.5959,96.63023007223154
1656909223,389000,2568206,16,19,13,4,26,3,4,4,26,20,4,3,22,24,13,4,22,88,11,0,2022-07-04T07:33:43,-142,-2.360183333333333,1656909231.1492648,2022-07-04T07:33:51,-142767,-2.37945,95.89489068104002
1656909235,457000,2580274,16,12,13,4,27,29,4,4,26,6,4,4,18,11,4,4,27,177,11,0,2022-07-04T07:33:55,-130,-2.15905,1656909244.772837,2022-07-04T07:34:04,-130699,-2.178316666666667,96.94910423077496
1656909259,376000,2604193,16,12,13,4,29,22,4,4,28,31,4,4,28,32,13,4,27,91,11,0,2022-07-04T07:34:19,-106,-1.7604,1656909268.517932,2022-07-04T07:34:28,-106780,-1.7796666666666667,97.1818618774414
1656909283,362000,2628178,14,12,13,4,32,20,4,4,29,24,13,4,29,25,4,4,29,254,11,0,2022-07-04T07:34:43,-82,-1.3606333333333334,1656909293.2467358,2022-07-04T07:34:53,-82795,-1.3799166666666667,97.1818618774414
1656909293,380000,2638196,16,22,4,4,26,24,13,4,26,32,13,4,26,11,4,4,23,25,11,0,2022-07-04T07:34:53,-72,-1.1936666666666667,1656909303.095048,2022-07-04T07:35:03,-72777,-1.21295,97.23044629863249
1656909352,397000,2697212,16,12,13,4,28,3,4,4,25,24,13,4,24,25,4,4,24,164,11,0,2022-07-04T07:35:52,-13,-0.21005,1656909361.224604,2022-07-04T07:36:01,-13761,-0.22935,98.23045014892219
1656909358,407000,2703222,16,12,13,4,29,25,4,4,28,22,4,4,25,24,13,4,25,80,11,0,2022-07-04T07:35:58,-7,-0.10988333333333333,1656909370.86424,2022-07-04T07:36:10,-7751,-0.12918333333333334,97.60189056396484
