time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909183,250800,2529872,50.380001068115234,100024,108.86801147460938,42,13,1,2022-07-04T07:33:03,-182,-3.0291533333333334,-181101,-3.01835,96.68186036559167
1656909207,332900,2558984,50.040000915527344,100028,108.53163146972656,203,13,1,2022-07-04T07:33:27,-158,-2.6277850000000003,-151989,-2.53315,96.35508954244601
1656909208,691400,2560048,49.720001220703125,100028,108.53163146972656,214,13,1,2022-07-04T07:33:28,-157,-2.6051433333333334,-150925,-2.515416666666667,95.84477205778423
1656909209,755400,2561112,49.52000045776367,100028,108.53163146972656,224,13,1,2022-07-04T07:33:29,-156,-2.5874099999999998,-149861,-2.4976833333333333,96.18080098317081
1656909211,85400,2562442,49.36000061035156,100027,108.61573028564453,236,13,1,2022-07-04T07:33:31,-154,-2.5652433333333335,-148531,-2.4755166666666666,96.59381866455078
1656909212,890400,2564247,49.18000030517578,100027,108.61573028564453,246,13,1,2022-07-04T07:33:32,-153,-2.53516,-146726,-2.4454333333333333,96.59909677685431
1656909215,10400,2566367,49.029998779296875,100027,108.61573028564453,0,13,1,2022-07-04T07:33:35,-150,-2.4998266666666664,-144606,-2.4101,97.09478067552355
1656909222,290700,2567691,48.959999084472656,100029,108.44754028320312,13,13,1,2022-07-04T07:33:42,-143,-2.3784883333333338,-143282,-2.3880333333333335,96.08978271484375
1656909223,354700,2568755,48.90999984741211,100029,108.44754028320312,23,13,1,2022-07-04T07:33:43,-142,-2.3607549999999997,-142218,-2.3703,96.0845243654753
1656909224,418700,2569819,48.869998931884766,100028,108.53163146972656,33,13,1,2022-07-04T07:33:44,-141,-2.3430216666666666,-141154,-2.3525666666666667,95.85658110648352
1656909225,706900,2571287,48.83000183105469,100027,108.61573028564453,45,13,1,2022-07-04T07:33:45,-140,-2.3215516666666667,-139686,-2.3281,96.93088605605814
1656909227,489900,2573070,48.779998779296875,100026,108.69982147216797,55,13,1,2022-07-04T07:33:47,-138,-2.291835,-137903,-2.2983833333333332,97.0149831374583
1656909229,131900,2574712,48.75,100022,109.03620147705078,66,13,1,2022-07-04T07:33:49,-136,-2.2644683333333333,-136261,-2.2710166666666667,97.08947879023229
1656909230,690500,2576046,48.709999084472656,100024,108.86801147460938,78,13,1,2022-07-04T07:33:50,-135,-2.238491666666667,-134927,-2.2487833333333334,96.51506975073563
1656909231,754500,2577110,48.68000030517578,100022,109.03620147705078,88,13,1,2022-07-04T07:33:51,-134,-2.2207583333333334,-133863,-2.23105,96.75832762467233
1656909232,818500,2578174,48.650001525878906,100024,108.86801147460938,98,13,1,2022-07-04T07:33:52,-133,-2.203025,-132799,-2.2133166666666666,96.61280977827954
1656909234,291500,2579961,48.630001068115234,100023,108.95210266113281,110,13,1,2022-07-04T07:33:54,-131,-2.1784749999999997,-131012,-2.1835333333333335,97.85065198321675
1656909236,11500,2581681,48.58000183105469,100022,109.03620147705078,121,13,1,2022-07-04T07:33:56,-129,-2.149808333333333,-129292,-2.1548666666666665,97.60272604521325
